Date,NYSE,Nasdaq,Nikkei,Shanghai,DAX
2004-10-27,6665.870117,1928.0,10740.650391,,3882.0200200000004
2004-10-28,6670.5,1963.359985,10809.099609,,3951.6999509999996
2004-10-29,6692.709961,1974.550049,10805.120117,,3965.0
2004-11-01,6699.859863000001,1975.47998,10731.019531,,3961.179932
2004-11-02,6701.470215,1981.469971,10775.0,,4017.830078
2004-11-03,6787.399901999999,2014.449951,,,4061.4099119999996
2004-11-04,6885.200195,1998.1500239999998,10990.700195,,4032.610107
2004-11-05,6906.22998,2035.040039,11040.05957,,4075.01001
2004-11-08,6890.0,2038.219971,11095.5,,4063.830078
2004-11-09,6886.339844,2039.030029,10967.169922,,4075.6298829999996
2004-11-10,6891.220215,2039.5799559999998,10972.629883,,4074.429932
2004-11-11,6950.970215,2041.339966,11021.879883,,4081.0600590000004
2004-11-12,7014.180176000001,2065.320068,10841.429688,,4149.009765999999
2004-11-15,7003.060059,2082.590088,11079.169922,,4162.930176
2004-11-16,6959.299805,2087.070068,11234.719727,,4139.490234000001
2004-11-17,7013.459961,2090.939941,11132.049805,,4126.600098
2004-11-18,7002.910156,2096.189941,11182.089844,,4167.149902
2004-11-19,6947.189941,2100.449951,11120.94043,,4179.759765999999
2004-11-22,6979.790039,2066.340088,10956.410156,,4115.910156
2004-11-23,6985.299805,2082.469971,,,4143.720215
2004-11-24,7016.350098000001,2091.790039,10832.019531,,4140.25
2004-11-25,,,10853.099609,,4137.060059
2004-11-26,7046.689941,2101.810059,10924.450195,,4147.029785
2004-11-29,7032.22998,2110.909912,10844.360352,,4160.890136999999
2004-11-30,7005.720215,2104.669922,10909.25,,4161.620117
2004-12-01,7097.319823999999,2104.580078,10790.450195,,4108.549805
2004-12-02,7074.819823999999,2133.949951,10922.570313,,4202.720215
2004-12-03,7092.620117,2153.290039,11064.25,,4225.379883
2004-12-06,7082.580078,2145.429932,11021.160156,,4199.25
2004-12-07,7014.720215,2154.1298829999996,10971.209961,,4197.5
2004-12-08,7029.970215,2118.139893,10808.44043,,4185.069824
2004-12-09,7048.100098000001,2109.550049,10930.870117,,4197.950195
2004-12-10,7028.509765999999,2121.149902,10730.379883,,4167.540039
2004-12-13,7102.410156,2141.199951,10825.05957,,4189.339844
2004-12-14,7124.609863,2145.050049,10842.799805,,4234.359863000001
2004-12-15,7159.649901999999,2159.679932,10952.709961,,4239.390136999999
2004-12-16,7131.97998,2159.959961,10909.290039,,4216.359863000001
2004-12-17,7098.149901999999,2142.709961,10939.200195,,4235.779785
2004-12-20,7116.97998,2142.209961,11073.549805,,4178.169922
2004-12-21,7167.029785,2134.75,11125.219727,,4201.430176
2004-12-22,7190.140137,2145.98999,11205.919922,,4232.439941
2004-12-23,7208.779785,2153.310059,,,4234.049805
2004-12-24,,,11302.459961,,
2004-12-27,7197.27002,2168.820068,11374.519531,,4254.410156
2004-12-28,7245.810059,2156.75,11314.400391,,4253.810059
2004-12-29,7242.240234000001,2170.98999,11481.320313,,4270.560059
2004-12-30,7253.560059,2177.469971,11462.30957,,4254.379883
2004-12-31,7250.060059,2178.97998,,,
2005-01-03,7179.709961,2184.75,,,4260.919922
2005-01-04,7090.52002,2158.310059,11458.269531,,4281.629883
2005-01-05,7055.209961,2102.899902,11458.919922,,4262.209961
2005-01-06,7076.939941,2098.51001,11372.349609,,4260.370117
2005-01-07,7057.509765999999,2099.949951,11528.69043,,4297.990234000001
2005-01-10,7081.700195,2087.6201170000004,,,4311.859863000001
2005-01-11,7044.109863,2089.070068,11495.459961,,4305.859863000001
2005-01-12,7075.640137,2089.699951,11537.599609,,4257.640136999999
2005-01-13,7028.669922,2093.540039,11398.94043,,4218.209961
2005-01-14,7066.220215,2079.469971,11341.799805,,4191.140136999999
2005-01-17,,,11475.200195,,4235.939941
2005-01-18,7114.529785,2081.860107,11504.160156,,4239.540039
2005-01-19,7059.27002,2105.73999,11467.740234,,4259.669922
2005-01-20,7010.470215,2056.3798829999996,11335.120117,,4230.740234000001
2005-01-21,6996.560059,2053.149902,11226.070313,,4213.279785
2005-01-24,6984.029785,2040.130005,11213.030273,,4195.370117
2005-01-25,6998.640137,2022.0799559999998,11261.620117,,4193.540039
