Data,ca.f,cb.f,cc.f,ck.f,cl.f,ct.f,dl.f,fi.f,gc.f,gf.f,he.f,hg.f,ho.f,kc.f,ke.f,le.f,lf.f,ls.f,lu.f,mw.f,ng.f,oj.f,pa.f,pl.f,rb.f,rm.f,rs.f,sb.f,si.f,sw.f,tr.f,ux.f,xr.f,zc.f,zk.f,zl.f,zm.f,zo.f,zr.f,zs.f,zw.f
2006-10-06,831.0001,59.83,1451.0,,59.69,48.1,,,576.4,113.03,64.58,339.25,1.695,103.9,501.75,90.88,529.25,243.9,63.85,479.75,6.43,162.9,300.5,1080.8,1.5042,,301.5,11.07,1116.0,382.0,,,258.25,271.0,1.86,24.22,167.8,216.25,9.67,564.0,464.0
2006-10-09,822.9999,60.54,1437.0,,59.92,49.06,12.29,,581.9,110.75,64.35,341.25,1.7425,103.05,531.75,89.2,550.25,253.9,64.4,509.75,6.445,162.3,302.5,1095.8,1.4949,,,11.48,1139.0,395.0,,,260.0,289.5,1.89,24.99,170.1,227.0,9.85,574.5,494.0
2006-10-10,825.0,59.34,1432.0,,58.49,48.7,12.25,,575.7,110.1,64.8,337.5,1.6898,102.85,513.25,88.28,537.5,255.4,64.95,502.0,6.54,161.55,300.0,1073.0,1.4668,,305.8,11.61,1119.0,400.4,,,261.0,275.5,1.895,24.53,166.8,220.25,9.71,560.5,501.0
2006-10-11,822.0,58.65,1422.0,,57.54,48.38,12.24,,576.3,109.25,64.65,340.65,1.6735,103.05,540.5,88.35,540.0,254.8,64.75,529.25,6.157,164.8,305.5,1072.0,1.4503,,309.0,11.09,1131.0,392.5,,,262.0,284.0,1.85,24.5,167.2,231.5,9.82,562.25,531.0
2006-10-12,814.0001,58.76,1413.0,,57.89,48.93,12.3,,579.9,107.45,65.03,339.0,1.675,103.3,532.75,88.75,540.0,257.7,65.3,515.75,5.78,192.3,308.75,1076.0,1.4509,,313.9,11.13,1135.0,396.8,,,263.75,298.25,1.85,24.89,173.3,240.25,9.81,579.75,515.5
2006-10-13,817.0,59.52,1416.0,,58.57,49.01,12.3,,592.3,107.15,65.15,341.0,1.723,104.05,543.0,88.45,550.0,262.2,65.3,521.75,5.672999999999999,191.85,315.0,1080.2,1.4684,,314.2,11.13,1164.0,398.0,,,264.5,314.5,1.88,24.93,179.7,236.5,9.73,591.5,525.5
2006-10-16,812.0,61.66,1406.0,,59.92,49.18,12.35,,598.1,105.68,60.8,358.0,1.7555,101.9,546.0,87.43,547.0,260.5,65.3,528.5,6.46,195.45,326.0,1094.0,1.4917,,313.8,11.71,1186.0,407.8,,,265.75,316.75,1.885,24.93,178.5,238.0,9.49,589.0,542.5
2006-10-17,830.0,60.94,1444.0,,58.89,49.2,12.35,,592.8,104.58,59.73,349.35,1.7409,102.45,530.5,87.33,557.5,252.3,66.25,519.75,6.428,193.6,320.25,1085.0,1.4633,,320.6,12.58,1174.0,422.0,,,268.0,321.0,1.89,25.68,180.5,238.25,9.53,600.5,531.0
2006-10-18,816.0,59.58,1419.0,,57.57,48.33,12.35,,592.1,105.08,59.25,349.25,1.6932,102.25,524.5,87.85,549.0,247.0,66.15,505.0,6.89,193.15,329.0,1090.0,1.4703,,321.3,11.59,1179.0,403.6,,,269.75,315.5,1.94,25.94,179.6,233.0,9.63,604.5,512.5
2006-10-19,825.0,60.87,1443.0,,60.76,48.75,12.35,,601.8,104.7,58.67,350.75,1.713,101.85,530.0,87.2,534.75,247.0,66.5,510.25,7.13,192.05,336.25,1097.7,1.4894,,324.7,11.59,1212.0,400.0,,,273.5,316.0,1.96,26.54,178.7,229.0,9.58,608.0,513.0
2006-10-20,816.0,59.68,1434.0,,59.27,49.21,12.32,,596.1,104.75,59.35,346.2,1.7224,102.05,531.0,87.08,533.75,243.4,66.5,509.75,7.24,192.3,327.75,1082.0,1.4672,,320.5,11.71,1193.0,399.0,,,272.75,312.75,1.99,26.17,180.4,224.25,9.63,606.5,505.0
2006-10-23,835.9999,59.21,1464.0,,58.76,50.02,12.35,,582.5,105.0,60.03,345.0,1.7080000000000002,106.85,542.25,88.7,526.25,245.8,66.8,518.25,6.845,193.2,318.0,1075.0,1.4715,,321.4,11.8,1164.0,401.3,,,271.0,318.25,2.035,26.56,182.9,225.5,9.56,617.5,517.0
2006-10-24,825.0,59.86,1458.0,,59.31,49.57,12.33,,587.1,104.83,59.85,341.65,1.7311,107.15,545.25,88.35,536.5,245.8,67.0,523.25,7.125,194.0,322.0,1064.0,1.538,,324.8,11.69,1181.0,397.6,,,271.5,324.25,2.115,26.64,185.6,234.0,9.34,623.5,522.5
2006-10-25,826.0,62.05,1458.0,,61.31,49.92,12.33,,590.2,104.45,61.48,340.0,1.7665,106.85,535.5,88.58,548.75,242.7,66.5,513.5,7.691,196.8,320.3,1076.5,1.5923,,324.9,11.9,1185.0,403.3,,,272.25,327.0,2.18,26.58,185.2,236.75,9.38,622.0,516.75
2006-10-26,839.9999,60.77,1489.0,,60.28,50.6,12.33,,599.4,105.0,64.47,339.75,1.7377,107.6,530.25,90.65,543.5,243.0,66.5,506.75,8.083,196.75,324.5,1084.0,1.5637,,325.8,11.82,1220.0,402.0,,,271.0,327.0,2.114,27.04,186.1,234.5,9.41,627.75,507.5
2006-10-27,829.0,61.08,1470.0,,60.68,50.79,12.35,,600.7,103.58,64.6,340.25,1.7352,108.0,530.75,89.28,537.75,245.2,68.55,508.0,7.84,197.15,320.0,1080.0,1.5599,,330.5,11.79,1204.0,401.0,,,273.0,332.5,2.04,27.5,187.7,240.5,9.4,635.5,508.5
2006-10-30,830.0,58.68,1486.0,,58.35,49.36,12.35,,606.5,103.63,65.25,335.65,1.671,108.0,524.5,88.68,523.75,252.2,68.55,505.5,7.421,198.0,327.0,1094.5,1.4555,,329.0,11.45,1220.0,396.7,,,273.0,329.5,2.08,27.27,191.6,242.75,9.3,639.75,501.0
2006-10-31,828.0,59.03,1484.0,,58.64,49.28,12.65,,606.3,103.97,64.95,334.25,1.6593,108.25,516.0,87.83,516.25,243.9,67.75,495.25,7.54,199.4,323.5,1087.0,1.4646,,324.5,11.55,1223.0,400.0,,61.44,272.25,320.75,2.015,26.83,189.6,234.0,9.49,630.25,483.0
2006-11-01,820.0,58.98,1463.0,,58.56,48.78,12.7,,618.6,104.4,64.4,323.75,1.6656,108.65,519.0,87.55,513.75,239.2,68.25,499.5,7.7,197.75,326.0,1109.5,1.463,,329.8,11.5,1244.0,399.9,,,273.5,333.5,2.025,27.47,193.1,243.75,9.94,645.0,487.5
2006-11-02,832.0,57.87,1490.0,,57.8,49.18,12.77,,626.9,101.97,64.6,328.85,1.645,110.55,524.0,86.75,515.75,237.6,68.75,503.5,7.85,200.5,328.25,1161.0,1.4531,,331.0,11.53,1260.0,405.0,,,275.5,344.75,2.035,27.5,195.3,255.5,9.83,648.25,491.5
